,job_title,hiring_company,job_location,job_link,recruiter,description
0,Machine Learning Engineer,Waabi,"San Francisco County, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-waabi-3726080277?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=CnZ1yhBoKhooWKnT0d7gAA%3D%3D&trk=public_jobs_topcard-title,False,"Waabi, founded by AI pioneer and visionary Raquel Urtasun, is an AI company building the next generation of self-driving technology. With a world class team and an innovative approach that unleashes the power of AI to “drive” safely in the real world, Waabi is bringing the promise of self-driving closer to commercialization than ever before. Waabi is backed by best-in-class investors across the technology, logistics and the Canadian innovation ecosystem.

With offices in Toronto and San Francisco, Waabi is growing quickly and looking for diverse, innovative and collaborative candidates who want to impact the world in a positive way. To learn more visit: www.waabi.ai

You will...

Contribute and build the self-driving engineering foundations to develop the next generation autonomy software across several machine learning projects.
Be part of a team of multidisciplinary Engineers and Researchers using an AI-first approach to enable safe self-driving at scale.
Implement and improve machine learning training and inference pipelines.
Make iterations on the models for improvements.
Identify, propose and build infrastructure, data and computation pipelines, data storage strategies, common libraries and useful tools needed to optimize research and development of deep-learning models.

Qualifications:

MS/PhD or Bachelors degree with a minimum of 4 years of industry experience in Computer Science, Robotics and/or similar technical field(s) of study.
Solid coding proficiency in Python or C++.
Some experience in reading and developing production quality software, versus only creating prototypes/proof of concepts.
Experience in software architecture, system performance, latency and data flow.
Experience in Machine Learning.
Understanding of parallel machine learning training and model deployment (e.g., TensorRT conversion).
Ability to productionize machine learning models.
Experience building software solutions on cloud infrastructure.
Ability to rapidly prototype and test new algorithms.
Solid problem solving skills using linear algebra, geometry, statistics & probability.
Open-minded and collaborative team player with willingness to help others.
Passionate about self-driving technologies, solving hard problems, and creating innovative solutions.

Bonus/nice to have:

Experience designing and implementing tools for automated model tuning and hyper-parameter optimization, as well as experiment analysis.
Experience in Deep learning frameworks such as PyTorch and TensorFlow.
Experience with automated testing.
Experience working in an Agile/Scrum environment.

The US yearly salary range for this role is: $122,000 - $190,000 USD in addition to competitive perks & benefits. Waabi (US) Inc.’s yearly salary ranges are determined based on several factors in accordance with the Company’s compensation practices. The salary base range is reflective of the minimum and maximum target for new hire salaries for the position across all US locations. Note: The Company provides additional compensation for employees in this role, including equity incentive awards and an annual performance bonus.

Perks/Benefits:

Competitive compensation and equity awards.
Health and Wellness benefits encompassing Medical, Dental and Vision coverage (for full-time employees only).
Unlimited Vacation.
Flexible hours and Work from Home support.
Daily drinks, snacks and catered meals (when in office).
Regularly scheduled team building activities and social events both on-site, off-site & virtually.
As we grow, this list continues to evolve!

Waabi is an equal opportunity employer that celebrates diversity and is committed to creating a supportive, inclusive, and accessible environment for all employees. We seek applicants of all backgrounds and identities, across race, color, ethnicity, national origin or ancestry, age, citizenship, religion, sex, sexual orientation, gender identity or expression, military or veteran status, marital status, pregnancy or parental status, caregiver status, disability, or any other characteristic protected by law. We make workplace accommodations for qualified individuals with disabilities as required by applicable law. If reasonable accommodation is needed to participate in the job application or interview process please let our recruiting team know."
1,Scientist (Molecular Biologist),Sharp Decisions,"San Mateo, CA",https://www.linkedin.com/jobs/view/scientist-molecular-biologist-at-sharp-decisions-3725445478?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=C8b3OaOfVfjfyMlqMqBoUQ%3D%3D&trk=public_jobs_topcard-title,True,"Title: Scientist (Molecular Biologist)
Location: Foster City, CA
Contract: 12 months (Contract with possible extension)
Pay Rate: $44.82-$48.27/HR w2

Job Description
The Pathobiology group is seeking a highly motivated scientist with experience in Genomics and Molecular Biology to join the Molecular Pathology group. A successful candidate will be instrumental in applying genomics technologies to tissue-based applications to derive molecular insights into disease biology. The individual will be responsible for refinement and execution of Spatial Transcriptomics, NGS/RNA-Seq on formalin fixed and/or frozen tissue. This role will interface cross-functionally across therapeutic areas and programs with Biologists, Pathologists and Data Scientists. Therefore, an ability to successfully engage and communicate across various functions within Research is essential.

Key Responsibilities
Primarily serving as the bench facing scientist in modification and execution of Spatial Transcriptomics/Emerging tissue-based technologies.
Execution of research projects that require gene expression analyses on fixed tissues.
Establishment of automated solutions for molecular biology readouts within a Pathology lab.
Cross-functional study planning, execution, and analysis with members in Biology and Research Data Sciences.

Knowledge, Experience and Skills
Demonstrated expertise of ways in which molecular biology principles could be applied to the interrogation of disease biology is required.
Extensive hands-on experience with DNA/RNA extraction, gene expression assays such as qRT-PCR is required. Prior experience with primer design and gene expression analysis is essential.
Experience with library preparation for next generation sequencing is highly preferred but not essential.
Ability to navigate genomics archives and databases hosted by UCSC, NCBI, ENSEMBL is essential.
Experience with tissue-based methods such as Immunohistochemistry (IHC)/Immunofluorescence (IF), in order to contextualize spatial relationships.
Demonstrated ability to communicate robustly and maintaining scientific rigor is essential.

Qualifications
A Masters degree in Genetics/ Molecular Biology/ Translational Biology or related discipline.
Proficient in execution of wide range of molecular biology assays.
Strong scientific background and in-depth understanding of genomic technologies. Prior experience with automation is preferred but not required.
Excellent interpersonal and communication skills that reflect core values of integrity and excellence.

Required Years of Experience: 1-3

Required Degree or Certification: MS

Top 3 Required Skill Sets: Molecular Biology, RNA workflows, Sanger Sequencing

Top 3 Nice to Have Skill Sets: Probe/primer design, NGS library preparation, Previous experience with histology (IHC/H&E staining)
Unique Selling Point of this role: Access to cutting edge genomics techniques that integrate histology information"
2,Data Scientist,Diverse Lynx,"Oakland, CA",https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-3721991853?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=O0HN8Rf7MuIjVCltLkHqtg%3D%3D&trk=public_jobs_topcard-title,False,"Role: Data Scientist

Location : Oakland, CA- Remote/Hybrid

Experience: 8-10 Year

Duration: 12+ Months

Technical Skills: AWS, pyspark, GIS tools like Arcmap, ArcGIS Pro, ETL and BI tools like Foundry/Tableau/Informatica

Job Description

"" Have good experience in data analysis logic and preferably have worked in ETL and BI tools like Foundry/Tableau/Informatica.

"" Sound knowledge in complex SQL statements.

"" Comfortable in writing python scripts and use pyspark for data analysis.

"" Hands-on experience in cloud computing (AWS) and has worked in Agile methodology.

"" Should have a positive attitude to learn and deliver on project demand.

"" Familiar and experience (preferred) in GIS tools like Arcmap, ArcGIS Pro etc.

"" Good to have knowledge in electric distribution domain.

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company."
3,Lead Machine Learning Engineer/Scientist,Got It AI,"Burlingame, CA",https://www.linkedin.com/jobs/view/lead-machine-learning-engineer-scientist-at-got-it-ai-3725968624?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=bfUje715HU%2BwBjmn5uPZuQ%3D%3D&trk=public_jobs_topcard-title,False,"At Got It, Machine Learning Engineers and Scientists develop cutting edge technology and integrate it into our conversational AI platform. Our engineers bring fresh ideas from a diverse set of areas, including natural language processing, speech, and conversational AI, cloud computing, large-scale system design, security, artificial intelligence, UI design, and more. We need our team to be enthusiastic and versatile, display leadership, and take on problems across the full stack.

As a Lead ML engineer or a scientist, you would work with a fast paced team on mission critical R&D projects towards specific, and ever evolving, business goals. With your technical expertise, you would manage project priorities, deadlines, and deliverables.

Minimum Requirements

Master's or Ph.D. degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field
3 years+ domain expertise in NLP and deep learning
Experience with one or more general purpose programming languages including but not limited to: Python, Java, or C/C++

Preferred Qualifications

Ph.D. with specialization in one of the following areas: NLP, Conversational AI or machine learning
5+ years of experience with one or more of the following: natural language processing, conversational AI, speech recognition, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar
Strong publication record
Strong software design and development skills and experience working effectively with science, data processing, and software engineering teams
Proven track record of innovation
Excellent written and spoken communication skills
Experience with relevant technologies (e.g., PyTorch, Tensorflow, machine learning libraries)
Entrepreneurial spirit combined with strong architectural and problem solving skills"
4,Founding Machine Learning Engineer,Recruiting from Scratch,San Francisco Bay Area,https://www.linkedin.com/jobs/view/founding-machine-learning-engineer-at-recruiting-from-scratch-3691294837?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=Ayx5fe%2BJK5bhhT%2FiHCrTEQ%3D%3D&trk=public_jobs_topcard-title,True,"Who is Recruiting from Scratch:
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Founding Software Engineer
We are seeking a talented founding Machine Learning engineer to help us revolutionize the hardware ecosystem. This is a chance to join a small, well-funded founding team applying Large Language Models to a longstanding problem.
About the role:
As a founding engineer, you will design and build our core technology. You will work in a small team of 3 engineers directly with the CEO to understand our customers' needs and build the product.
You’ll be building the core product, and may have to learn new technologies or approaches on the fly. You’ll be able to shape your area of responsibility according to your interests.
You’ll talk to customers and integrate their feedback into the product.
As a high-growth startup, there will be an opportunity to expand your role as the company scales.
The work environment will be highly dynamic. Your role will be less structured and will involve ambiguity. There may be pivots, whose direction you’ll get to shape. You’ll have high degree of purpose, ownership, and responsibility over our product.
You will get firsthand experience building a startup. You’ll work closely with the CEO and customers and will often have direct access to investors.
Requirements:
3+ years of experience as an ML engineer or data scientist
Proficiency in Python and basic ML libraries like Pytorch or TensorFlow
Ability to read documentation and ML literature and quickly understand and implement new models
Willing to spend 3 days in person in San Francisco (we’ll support your move)
Legally authorized to work in the United States
Salary Range: $140,000-$180,000+ base. Equity. Medical, Dental, Vision.
https://www.recruitingfromscratch.com/"
5,Research Scientist/Engineer,Adobe,"San Francisco, CA",https://www.linkedin.com/jobs/view/research-scientist-engineer-at-adobe-3683831470?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=xLHyuZkTh0DyL5INaovXEQ%3D%3D&trk=public_jobs_topcard-title,False,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Research Scientist

Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to craft beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity

Adobe Research is seeking a Research Scientist in computer graphics, computer vision and machine learning to join the Graphics and 3D Imaging Research organization with offices based in North America (San Jose, San Francisco and Seattle), London and Paris. This is an exciting opportunity to imagine and build the creative tools of the future! You will be working with a world-class team of research scientists and engineers to invent algorithms for hard research problems, and incorporate these algorithms into Adobe products, thus putting your work in the hands of millions of creative artists and designers. Our lab encourages publication of research ideas and supports collaborative research efforts with academic institutions. Our internship program provides an influx of new ideas, making our lab an exciting place for technical growth.

What You Will Do

Research problems in computer graphics, computer vision, and machine learning, with a focus on developing generative AI methods that connect vector graphics and raster images for content creation and editing.
Collaborate with other researchers at Adobe to invent state-of-the-art algorithms for these problems
Patent these algorithms and publish them at the premier computer graphics, vision and machine learning venues.
Build and iterate over functional prototypes of these algorithms
Collaborate with product groups to integrate these prototypes into Adobe's products.

What You Will Need To Succeed

Ph.D. in Computer Science or a related technical field, with a focus on computer graphics, computer vision and/or machine learning
Expertise in one or more of the following areas: generative models for content synthesis, deep neural networks, vector graphics, image processing
A strong personal research track record including peer-reviewed publications in top computer vision, graphics, and machine learning venues.
Strong Python and deep learning development skills and experience with one or more training or deployment environments (PyTorch, Tensorflow)
Experience with design of high-level APIs and frameworks
Expertise in optimizing and deploying machine learning models on device
Basic knowledge of C++
A passion for building creative tools with delightful user experiences
Strong verbal and written communication skills

Welcome expertise

Familiarity with 2D content creation tools (e.g., Illustrator, Photoshop, Lightroom, etc.)
Strong C++ development skills

At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status.

Our compensation reflects the cost of labor across several  U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $142,600 -- $281,700 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees."
6,Machine Learning Lead,ReCode Therapeutics,"Menlo Park, CA",https://www.linkedin.com/jobs/view/machine-learning-lead-at-recode-therapeutics-3706752104?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=ZWU7chuZf%2FTpe7nC4peU9g%3D%3D&trk=public_jobs_topcard-title,False,"Who We Are:

We are a clinical stage company powering the next wave of genetic medicine through superior delivery with our next-generation lipid nanoparticle delivery platform. Our mRNA and gene editing therapeutics have the potential to directly replace or address underlying genetic mutations in a vast range of diseases starting with primary ciliary dyskinesia and cystic fibrosis. Our selective organ targeting (SORT) LNP platform is uniquely differentiated to enable the delivery of diverse genetic payloads to tissues beyond the liver.

At ReCode, we bring a unique blend of rigor, creativity, and curiosity to our high-hurdle mission. Our team is uniquely positioned to tackle this challenge, given our extensive experience in lipid nanoparticle delivery, mRNA design and optimization, mRNA manufacturing, gene editing, and rare disease drug development. We are a high performing, highly functional organization with a culture that is caring and strives to enable every member of our team to thrive.

Summary of Position:

We are seeking a hands-on, experienced, and visionary Data Scientist / Senior Data Scientist to work as part of a highly collaborative, multi-disciplinary, and fast paced team. The objective of this team is to develop and apply machine learning (ML) models and data analysis tools across ReCode's proprietary lipid nanoparticle data sets to identify optimal LNPs and genetic payloads for better targeting. The successful candidate will develop and implement ML models as well as leverage data analysis and transformation tools to support clinical discovery and development across several cutting edge programs in the gene editing and mRNA therapeutics space.

The successful candidate must have a strong foundation in data science and experience in applying machine learning and deep learning models in either biotechnology fields, or fields with smaller but higher quality datasets. This position has significant visibility and potential for growth in a dynamic organization, as well as the opportunity to have a high impact in developing new clinical candidates.

Responsibilities:

Work with leadership to develop the vision and strategic plan for ReCode's machine learning platform, driving novel discoveries in RNA therapeutics.
Build data pipelines, and develop system and protocol for data warehousing across the organization
Develop and apply ML models to solve the needs and challenges specific to discovery and development of gene editing and RNA medicines.
Work with RNA biologists, the high throughput screening team, and the NGS team to acquire appropriate datasets to train, build, and refine machine learning models.
Utilize deep understanding of scientific literature and concepts to drive innovation for LNP design.
Ensure effective training and validation of large deep learning models at scale.
Partner across the organization to align data generation with infrastructure, innovative approaches, and data integration strategies.

Qualifications:

M.S. or Ph.D. (Ph.D. preferred) in data science machine learning, computer science, statistics, mathematical modeling, physics, computational biology, operations research, or related field
Strong experience in data science & machine learning required
Experience applying machine learning required
Proven ability to apply ML models to leverage smaller, but high quality datasets and deeply informed views on areas for potential creativity, and a high degree of flexibility in structuring models and workflows to adapt to experimental needs and data streams.
Demonstrated mastery of applying broad array machine learning techniques, including deep learning, and other approaches such as tree-based classifications, across a variety of ML architectures, data libraries, and cloud-computing development environments
Experience with applications in biotechnology, preferred

Salary Range: *150-175K

Please note that for remote positions, salary may be adjusted for cost of living

Benefits Offered:

No premium cost for employees - 100% subsidized by ReCode for full-time employees
Company 401k contribution
15 days of company paid holidays, including a holiday shutdown (usually the last week of the year)
Mental health support for employees & their families
FSA available, including a lifestyle spending account subsidized by company
Employee discounts at hotspots

ReCode Therapeutics (www.recodetx.com) offers a competitive compensation/benefits package with a friendly, collaborative culture that values employee engagement and ongoing career development.

ReCode Therapeutics is an Equal Opportunity Employer."
7,"Senior Data Scientist, Product Growth",Jerry,San Francisco Bay Area,https://www.linkedin.com/jobs/view/senior-data-scientist-product-growth-at-jerry-3725453714?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=SXXCPMpAWPFrTHS4C7E2ZQ%3D%3D&trk=public_jobs_topcard-title,False,"We'd love to hear from you if you like:

Making a big impact with a Forbes Top Startup Employer
Working on products that have traction (40X revenue growth in 4 years | #1 rated app in the insurance comparison category)
Solving problems in a huge market ($2T market size)
Working closely with serial entrepreneurs and seasoned leaders who have scaled companies like Robinhood, Amazon, LinkedIn, Wayfair, SoFi, Microsoft, etc.

About the opportunity:

We are looking for a Senior Data Scientist to join our central data team and partner with one of our emerging product groups. Helping everyday, hard working Americans save time and money on their cars and creating a world class experience is what drives every decision we make as a company. Since launching our mobile app in 2019, we have amassed over 4M customers, expanded our product offerings to multiple categories and scaled our team 10X. Our data team fuels all of our business and product decisions through delivering analytical insights and building advanced models.

Reporting to our VP of Business Operations and Analytics, you will leverage data to drive growth and retention for one of our emerging product groups (car maintenance marketplace or chatbot). You will perform analytical deep dives, develop and analyze experiments, build predictive models, and make recommendations that inform our product roadmap. Working with a brilliant team of product managers, product designers, software engineers, and key business leaders, you will play a big role in accelerating our growth and taking our customer experience to the next level.

How you will make an impact:

Partner closely with our product managers, software engineers, product designers, and key business leaders to drive user growth and retention for our core insurance product
Design, run, and analyze A/B experiments on new and existing features; extract key insights, share learnings and make recommendations on next steps
Build key reports, dashboards, and predictive models to monitor the performance of our insurance business, and communicate analytical outcomes to our teams
Transform and refine raw production data for analytical needs
Continually improve our data governance and data consistency standards within our database
Work with data engineering team on data tracking, integrity, and security as needed
Work with other data scientists to evolve, optimize and integrate machine learning models

Who you are:

Intellectually curious: You're not satisfied with surface level insights. You dive deep to understand how systems work, why people behave in certain ways and are intrinsically motivated to uncover root causes for issues or underlying reasons behind decisions.
Creative problem-solver: No challenge is too complex, no issue is too hard.
Data-driven: You're extremely analytical and live in data. At the same time, you're confident enough to make decisions when the data is limited.
Strong communicator: Able to drive alignment and communicate effectively to different audiences.

Ideal profile:

Bachelor’s degree in Mathematics, Statistics, Economics, Computer Science or a related discipline
2+ years of experience as a data scientist or product analyst in a consumer-facing web or mobile app environment
Experience designing and implementing A/B tests, and analyzing user experience
Hands-on experience with SQL (advanced proficiency)

Jerry is proud to be an Equal Employment Opportunity employer. We prohibit discrimination based on race, religion, color, national origin, sex, pregnancy, reproductive health decisions or related medical conditions, sexual orientation, gender identity, gender expression, age, veteran status, disability, genetic information, or other characteristics protected by applicable local, state or federal laws.

Jerry is committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, please contact us at recruiting@getjerry.com

About Jerry:

Jerry is America’s first and only AllCar™ app. We are redefining and radically improving how people manage owning a car, one of their most expensive and time-consuming assets.

Backed by artificial intelligence and machine learning, Jerry simplifies and automates owning and maintaining a car while providing personalized services for all car owners' needs. We spend every day innovating and improving our AI-powered app to provide the best possible experience for our customers. From car insurance and financing to maintenance and safety, Jerry does it all.

We are the #1 rated and most downloaded app in our category with a 4.7 star rating in the App Store. We have more than 4 million customers — and we’re just getting started.

Jerry was founded in 2017 by serial entrepreneurs and has raised more than $242 million in financing.

Join our team and work with passionate, curious and egoless people who love solving real-world problems. Help us build a revolutionary product that’s disrupting a massive market."
8,Senior Product Data Scientist,BILL,"San Jose, CA",https://www.linkedin.com/jobs/view/senior-product-data-scientist-at-bill-3712636524?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=o9UzFeRDYsRpG2%2F09H7UpA%3D%3D&trk=public_jobs_topcard-title,False,"Do the best work of your career as a champion for small and mid-size businesses.

BILL is a leader in financial automation software for small and midsize businesses (SMBs). As a champion of SMBs, we are dedicated to automating the future of finance so businesses can thrive. Hundreds of thousands of businesses trust BILL solutions to manage financial workflows, including payables, receivables, and spend and expense management. With BILL, businesses are connected to a network of millions of members, so they can pay or get paid faster. Through our automated solutions, we help SMBs simplify and control their finances, so they can confidently manage their businesses, and succeed on their terms.

BILL is a trusted partner of leading U.S. financial institutions, accounting firms, and accounting software providers. We have operations in San Jose, CA, Draper, UT, Houston, TX and Sydney, AUS and are continuing to expand into other geographic locations. If you’re looking for a place that helps you do the best work of your career, look no further than BILL.

This position is based at [Select from one of the following locations: San Jose or Draper, UT We support a hybrid work environment with on-site and remote work days.

Make Your Impact Within a Rapidly Growing Fintech Company

This team supports the Cash In Cash Out organization, our largest product area covering automation of Accounts Payable, Accounts Receivable, and Spend & Expense Management. This provides the opportunity to both go deep (eg. specific product features) and/or operate at a high altitude (eg. market penetration by segment)
Utilize statistical methods and data analysis techniques to identify trends or outliers, propose remedial actions and drive impact.
Drive root cause analyses, and/or improve classification and discoverability of qualitative data using NLP, LLM classification (eg. survey results, customer feedback, error codes)
Define OKRs for new product initiatives, setting targets and tracking performance over time in close collaboration with PMs, Engineering, Design and Research.
Build a feature store by combining internal and external data at various levels of fidelity.
Design, develop and maintain dashboards to provide real time visibility into customer behavior and/or product performance.
Perform A/B testing to validate hypotheses and influence features prioritization.
Collaborate with Data Engineering to ensure data integrity throughout the data pipeline.

We’d Love To Chat If You Have

Bachelor's or Master’s degree in CS, Statistics, Mathematics, or equivalent practical experience.
4-8 years in a data science/analytics role, preferably within a product-focused or tech company.
Strong SQL skills and experience working with databases to extract, transform, and analyze data.
Proficiency in Python or R
Experience with Tableau, DBT, Gitlab, AWS (or a similar stack)
Strong communication and storytelling skills.
A student mindset when it comes to data.

Let’s Talk About Benefits

100% paid employee health, dental, and vision plans (choose HMO, PPO, or HDHP)
HSA & FSA accounts
Life Insurance, Long & Short-term disability coverage
Employee Assistance Program (EAP)
11+ Observed holidays and wellness days and flexible time off
Employee Stock Purchase Program with employee discounts
Wellness & Fitness initiatives
Employee recognition and referral programs
And much more

This role is based in California.

The estimated base salary range for this role is noted below for our office location in San Jose, CA. Additionally, this role is eligible to participate in BILL’s bonus and equity plan. Our ranges for each role and job level are based on a variety of factors including candidate experience, expertise, and geographic location and may vary from the amounts listed above. The role is also eligible for a competitive benefits package that includes: medical, dental, vision, life and disability insurance, 401(k) retirement plan, flexible spending & health savings account, paid holidays, paid time off, and other company benefits.

San Jose pay range

$126,900—$151,800 USD

For positions that are in office we support a hybrid work environment with on-site and remote work days. Check out our LinkedIn Life Page for each location and Discover BILL.

We live our culture and values every day

At BILL, we’re different by design—it's our culture. Our CEO is a trusted entrepreneur who lives our cultural values: Humble, Authentic, Passionate, Accountable, and Fun. People here love being their authentic selves, contributing unique experiences, sharing ideas, perspectives, and intellectual curiosity. We celebrate our diversity as the heart and soul of how we work, grow, and succeed together. Inspiring people with meaningful career experiences they love really does make the dream work and our successes just keep getting better. There’s no limit to what we can build and where we can go from here. We’d love you to join us.

BILL is proudly an Equal Opportunity Employer where everyone is welcome. Our innovation and technology are inspired by an inclusive culture unlike any other. Everyone brings a different personal story and perspective and this diverse mix of minds, backgrounds, and experiences is where our greatest ideas come from. We welcome people of all races, ethnicities, ages, religions, abilities, genders, and sexual orientations to make us an even more vibrant company. We want everyone to bring their authentic selves here, to share our values, shape our vision, drive innovation, and become part of a culture we celebrate every day.

BILL Culture

Humble - We check our egos at the door. We are curious. We listen, accept feedback.
Authentic - We earn and show trust by being real—embracing our authentic selves.
Passionate - We care deeply about each other and our customers.
Accountable - We are duty-bound to each other, our customers, and society.
Fun - We wrap it all together by building connections and enjoying time spent together.

Our Applicant Privacy Notice describes how BILL treats the personal information it receives from applicants"
9,React Developer ,"Global Soft Systems, Inc.","Sunnyvale, CA",https://www.linkedin.com/jobs/view/react-developer%C2%A0-at-global-soft-systems-inc-3725416352?refId=mns%2FCmiJ%2BJcKntPQCEzPOg%3D%3D&trackingId=%2BBbi2pUPx8RjcKSL2dY4UA%3D%3D&trk=public_jobs_topcard-title,False,"React Developer

Location: Need to sit in Sunnyvale, CA or Bentonville, AR or Dallas, TX

Must be open to relocate upon offer – Hybrid 2 days onsite

Overview: Looking for front end developers who have experience in building web applications using React framework that is used to build web applications. Strong developer, no specific amount of years but has worked with react the same. Contributing to health project. Patient portal for health clinic. Upcoming appointments, schedule, manage profile, edit your personal information, add insurances. Developer would be contributing to code base by developing new features and maintaining the existing functionality that they have.

Required
ReactJS
React Context API / useContext (React hook)
useReducer – same concept behind Redux. Can have one or the other
useState
Typescript – not JavaScript
Jest and react testing library – important because developers write unit and integration tests. Not doing TDD. Develop feature and then write a test after. A different library is fine.
Experience building responsive applications
CSS/styling
Nice To Have
NextJS – this would be a plus
GraphQL – not mandatory but nice to have
Consume GraphQL APIs
ADA experience – making the website accessible for seeing and hearing impaired. Will have to learn this if they don’t have it. Could be the deciding factor in whether a candidate gets a job
Requirement: Bachelor’s degree in Computer Science or related field or equivalent combination of industry-related professional experience and education."
